SSPscen;region;technology;vehicleType;subsectorL3;subsectorL2;subsectorL1;sector;level;2020;2030;2040;2050;2100
SSP2;CAZ;Liquids;Truck (26t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;FV;1;1;1;1;1
SSP2;CAZ;Liquids;Truck (40t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;FV;1;1;1;1;1
SSP2;CAZ;Liquids;Truck (7_5t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;FV;1;1;1;1;1
SSP2;CAZ;Liquids;Van;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;1;1;1;1;0.185725541625509
SSP2;CAZ;Walk_tmp_technology;Walk_tmp_vehicletype;Walk_tmp_subsectorL3;Walk_tmp_subsectorL2;Walk;trn_pass;FV;1;1;1;1;1
SSP2;CHA;;;;;Cycle;trn_pass;S1S;0.09449999996579;0.0599999999957508;0.054999999994174;0.0499999999980538;0.0649999999976735
SSP2;CHA;;;;;Domestic Aviation;trn_pass;S1S;0.0499999999816126;0.0149999999989793;0.0124999999987087;0.00874999999969865;0.00399999999985889
SSP2;CHA;;;;;Domestic Ship;trn_freight;S1S;0.0299999999681725;0.0300000001154755;0.0300000000206451;0.0300000000160576;0.0300000000174506
SSP2;CHA;;;;;Freight Rail;trn_freight;S1S;0.0899999999735688;0.060000000287725;0.0499999998372625;0.0400000000108277;0.0200000000160703
SSP2;CHA;;;;;HSR;trn_pass;S1S;0.239999999903942;0.0499999999964767;0.0312499999966909;0.0124999999995188;0.00399999999984759
SSP2;CHA;;;;;International Aviation;trn_aviation_intl;S1S;1;1;1;1;1
SSP2;CHA;;;;;International Ship;trn_shipping_intl;S1S;1;1;1;1;1
SSP2;CHA;;;;;Passenger Rail;trn_pass;S1S;0.00621999999784592;0.00388749999973344;0.00288749999970537;0.00187499999992453;0.00149999999994857
SSP2;CHA;;;;;Walk;trn_pass;S1S;1;1;1;1;1
SSP2;CHA;;;;;trn_freight_road;trn_freight;S1S;1;1;1;1;1
SSP2;CHA;;;;;trn_pass_road;trn_pass;S1S;0.899999999663354;0.624999999958032;0.374999999960143;0.249999999989913;0.0999999999965569
SSP2;CHA;;;;Bus;trn_pass_road;trn_pass;S2S1;0.600909090909093;0.272727272727272;0.208695652173913;0.156521739130434;0.065
SSP2;CHA;;;;Cycle_tmp_subsectorL2;Cycle;trn_pass;S2S1;1;1;1;1;1
SSP2;CHA;;;;Domestic Aviation_tmp_subsectorL2;Domestic Aviation;trn_pass;S2S1;1;1;1;1;1
